,Name,Url,Ingredients,Calories,Carbs Grams,Protein Grams,Fat Grams
0,Raspberry Almond Baked Oatmeal,https://www.eatyourselfskinny.com/raspberry-almond-baked-oatmeal/,"['1½ cups rolled oats', '1 tsp. ground ginger', '½ tsp. salt', '¼ cup dry-roasted almonds coarsely chopped', '2 cups of unsweetened almond milk (or milk of choice)', '¼ cup honey (or maple syrup)', '2 Tbsp olive oil', '1 tsp. vanilla', '1 cup fresh raspberries + more for topping']",211.0,31.9,4.4,8.7
1,Grandma’s Easy Banana Bread,https://www.eatyourselfskinny.com/grandmas-banana-bread/,"['½ cup (1 stick) butter softened', '1 cup sugar', '2 eggs', '1 tsp. vanilla', '½ cup sour cream (or plain Greek yogurt)', '1 cup mashed bananas (about 2 bananas)', '1½ cups all-purpose flour', '1 tsp. baking soda', '½ tsp. salt']",218.0,32.7,3.7,8.5
2,Banana Oat Breakfast Smoothie,https://www.eatyourselfskinny.com/banana-oat-breakfast-smoothie/,"['⅓ cup rolled oats', '½ cup yogurt (I used Silk Almondmilk yogurt)', '1 banana', '1 Tbsp flaxseed meal', '½ tsp. cinnamon', '½ cup almond milk']",210.0,32.5,5.6,7.5
3,Salted Caramel Overnight Oats,https://www.eatyourselfskinny.com/salted-caramel-overnight-oats/,"['⅓ cup rolled oats', '¼ cup unsweetened almond milk', '2 Tbsp caramel flavored almond creamer', '1 Tbsp chia seeds', '½ banana mashed', '½ tsp. cinnamon', 'Toppings: cacao nibs chopped cashews banana slices & caramel sauce', '1 cup full fat coconut milk', '⅓ cup coconut sugar', '½ tsp. sea salt', '½ tsp. vanilla extract (optional)']",274.0,43.6,5.9,8.4
4,Carrot Cake Breakfast Bars,https://www.eatyourselfskinny.com/carrot-cake-oatmeal-breakfast-bars/,"['2½ cups rolled oats', '1 tsp. baking powder', '2 tsp. cinnamon', '¼ tsp. nutmeg', '¼ tsp. sea salt', '1 egg', '1 cup Silk Protein Nutmilk (or milk of choice)', '¼ cup coconut oil melted and cooled slightly', '⅓ cup maple syrup', '1 tsp. vanilla', '½ cup grated carrots', '½ cup (4 oz) less-fat cream cheese softened (use vegan cream cheese if dairy-free!)', '1 Tbsp maple syrup', '½ tsp. vanilla']",125.0,16.2,3.3,5.9
5,Easy Sweet Potato Hashbrowns,https://www.eatyourselfskinny.com/easy-sweet-potato-hashbrowns/,"['2 sweet potatoes peeled and grated', '½ onion chopped', '3 Tbsp grass fed butter (or coconut oil)', '½ tsp. sea salt', '¼ tsp. cinnamon', '¼ tsp. chili powder', 'Pinch of ground black pepper']",230.0,29.9,2.6,11.6
6,Blueberry Banana Almond Flour Pancakes,https://www.eatyourselfskinny.com/blueberry-banana-almond-flour-pancakes/,"['1 cup almond flour', '1 tsp. baking powder', '4 eggs lightly whisked', '1 banana mashed', '¼ cup Silk Vanilla Almond Creamer', '¾ cup blueberries']",144.0,10.7,6.3,9.5
7,The BEST Almond Flour Pumpkin Bread,https://www.eatyourselfskinny.com/the-best-almond-flour-pumpkin-bread/,"['2 cups almond flour', '2 tsp. baking powder', '1 tsp. baking soda', '2 tsp. pumpkin pie spice', '½ tsp. cinnamon', '¼ tsp. nutmeg', '¼ tsp. sea salt', '3 eggs lightly whisked', '¼ cup coconut oil melted', '¼ cup pure maple syrup', '1 (15 oz) can 100% pumpkin puree', '3 oz ⅓-less fat cream cheese', '2 Tbsp powdered sugar', '1-2 Tbsp almond milk (or milk of choice)']",206.0,13.4,7.3,14.3
8,Easy 3-Ingredient Granola,https://www.eatyourselfskinny.com/easy-3-ingredient-granola/,"['3 cups rolled oats', '¼ cup coconut oil melted', '⅓ cup maple syrup', 'Optional: ½ tsp. cinnamon']",137.0,22.5,3.0,5.1
9,Strawberry Jam Filled Oat Muffins,https://www.eatyourselfskinny.com/strawberry-jam-filled-oat-muffins/,"['2 cups whole wheat flour', '½ cup oat flour', '1 Tbsp baking powder', '½ cup Stevia In The Raw®', '½ tsp. salt', '2 eggs', '1 cup unsweetened almond milk', '2 Tbsp coconut oil melted', '1 Tbsp honey', '1 tsp. vanilla', '¼ cup strawberry jam (I used sugar-free)']",132.0,21.6,4.3,3.9
10,Triple Berry Smoothie Bowl,https://www.eatyourselfskinny.com/triple-berry-smoothie-bowl/,"['1 cup frozen mixed berries', '½ cup unsweetened almond milk', '3 Tbsp plain Greek yogurt', 'Ice for thickening', 'Fresh fruit (I used blueberries raspberries and blackberries)', 'Granola', 'Hemp hearts', 'Chia seeds']",121.0,19.4,6.0,1.8
11,Overnight Blueberry French Toast Casserole,https://www.eatyourselfskinny.com/overnight-blueberry-french-toast-casserole/,"['1 (14-16 oz) loaf whole wheat french bread cut into 1-inch cubes', '2 cups AllWhites® 100% liquid egg whites', '2 cups unsweetened almond milk', '¼ cup pure maple syrup', '1 Tbsp vanilla', '2 tsp. cinnamon', '¼ tsp.nutmeg', 'Pinch of salt', '1 cup fresh or frozen blueberries', 'Optional toppings: powdered sugar maple syrup extra blueberries']",116.0,20.9,6.5,0.9
12,Peanut Butter and Banana Overnight Oats,https://www.eatyourselfskinny.com/peanut-butter-and-banana-overnight-oats/,"['½ cup rolled oats', '½ cup vanilla almond milk', '1 Tbsp chia seeds', '½ banana mashed', '1½ Tbsp peanut butter', 'Toppings: banana slices coconut flakes dollop of peanut butter and chunks of Peanut Butter Cookie Larabar']",369.0,45.2,13.0,13.2
13,Strawberry Chia Overnight Oats,https://www.eatyourselfskinny.com/strawberry-chia-overnight-oats/,"['⅓ cup rolled oats', '½ cup Silk Protein Nutmilk', '1 Tbsp chia seeds', '1 tsp. honey (or maple syrup)', '½ tsp. vanilla', '1 Tbsp strawberry chia seed jam (see recipe below)', '1 cup strawberries chopped', '1 Tbsp honey (or maple syrup)', '1 Tbsp chia seeds', 'Strawberry chia seed jam', 'Sliced strawberries', 'Granola']",261.0,37.2,10.6,9.0
14,Ginger Peach Detox Smoothie,https://www.eatyourselfskinny.com/ginger-peach-detox-smoothie/,"['1 cup baby spinach leaves packed', '2 cups frozen peaches', '½ ripe banana', '1 Tbsp grated ginger', '¼ cup plain Greek yogurt', '1 packet Born Sweet Zing Organic Stevia Sweetener', '1 cup coconut water (or liquid of choice)', 'Ice (optional)']",123.0,26.7,5.5,0.4
15,Quinoa Egg White Breakfast Wrap,https://www.eatyourselfskinny.com/quinoa-egg-white-breakfast-wrap/,"['½ cup uncooked quinoa', '½ tsp. cumin', '¼ cup your favorite salsa', '1 Tbsp cilantro chopped', '1 cup AllWhites 100% liquid egg whites', 'Pinch of salt and pepper', '2 cups baby spinach', '4 (10 inch) whole wheat tortillas', 'Optional toppings: avocado tomatoes shredded cheese']",298.0,45.4,13.4,5.9
16,Baked Egg and Roasted Veggie Casserole,https://www.eatyourselfskinny.com/baked-egg-and-roasted-veggie-casserole/,"['3 cups broccoli florets', '2 cups sweet potatoes cubed', '1 red onion cut in wedges', '1 Tbsp olive oil', '¼ tsp. salt', '8 eggs', '½ cup shredded cheese', '½ tsp. black pepper']",301.0,21.9,19.2,15.7
17,Lemon Blueberry Blender Muffins,https://www.eatyourselfskinny.com/lemon-blueberry-blender-muffins/,"['½ cup plain Greek yogurt', '3 eggs', 'Juice of 1 lemon', '2 tsp. lemon zest', '¼ cup honey*', '1 tsp. vanilla extract', '3 cups almond flour', '1½ tsp. baking powder', '½ tsp. baking soda', '¼ tsp. salt', '1 cup blueberries fresh or frozen']",215.0,15.2,8.6,14.3
18,Slow Cooker Berry Breakfast Quinoa,https://www.eatyourselfskinny.com/slow-cooker-berry-breakfast-quinoa/,"['2 ripe bananas mashed', '4 cups water', '2 cups quinoa rinsed', '2 cups fresh or frozen mixed berries (blueberries strawberries raspberries etc.)', '2 Tbsp maple syrup', '2 tsp. vanilla', '1 tsp. cinnamon', '¼ tsp. salt']",229.0,44.2,7.0,2.8
19,Egg White and Avocado Salad,https://www.eatyourselfskinny.com/egg-white-avocado-salad/,"['10 hard boiled egg whites diced', '1 avocado mashed', '1 Tbsp Dijon mustard', '1 Tbsp plain Greek yogurt', '2 tsp. fresh lemon juice', '⅓ cup green onions chopped', '½ cup celery diced', '½ tsp. paprika', '¼ tsp. pepper', 'Pinch of sea salt', '2 slices uncured turkey bacon chopped']",154.0,6.9,12.1,8.9
20,Healthy Breakfast Enchiladas,https://www.eatyourselfskinny.com/healthy-breakfast-enchiladas/,"['1 Tbsp olive oil', '12 oz. turkey breakfast sausage', '1 small onion chopped', '8 eggs', 'Salt and pepper to taste', '10 (6 inch) whole wheat flour tortillas', '2 cups ranchero sauce (or your favorite enchilada sauce)', '½ cup shredded Mexican cheese', '1 Tbsp olive oil', '1 small onion chopped', '3 cloves garlic minced', '1 red bell pepper chopped', '1 jalapeño de-seeded and chopped', '1 tsp. cumin', '1 tsp. salt', '1 (10 oz) can diced tomatoes with green chiles', '1 cup low-sodium chicken broth', '3 Tbsp chopped cilantro', '1 avocado chopped', '1 cup cherry tomatoes halved', '3 Tbsp green onions chopped', 'Handful cilantro chopped']",265.0,19.5,15.5,12.1
21,No Bake Almond Butter Granola Bars,https://www.eatyourselfskinny.com/no-bake-almond-butter-granola-bars/,"['2 cups old fashioned rolled oats', '1 cup puffed rice cereal', '4 Tbsp coconut oil', '¼ cup light brown sugar', '½ cup almond butter', '¼ cup honey', '½ tsp. vanilla extract', '3 Tbsp mini chocolate chips (divided)', 'Pinch of sea salt']",145.0,16.6,2.3,7.2
22,Healthy Veggie Egg Muffins,https://www.eatyourselfskinny.com/healthy-veggie-egg-muffins/,"['1 Tbsp olive oil', '½ yellow onion chopped', '2 cloves garlic minced', '½ zucchini shredded', '1 red bell pepper chopped', '8 large eggs', '2 cups arugula roughly chopped', '¼ cup shredded Parmesan cheese', 'Salt and pepper to taste']",75.0,2.5,5.1,4.9
23,Banana Nut Bran Muffins,https://www.eatyourselfskinny.com/banana-bran-muffins/,"['1½ cups wheat bran', '½ cup unsweetened almond milk (or milk of your choice)', '2 medium bananas mashed', '1 egg', '1 Tbsp coconut oil melted and cooled', '1½ tsp. vanilla', '½ cup honey', '1 cup whole wheat flour', '1½ tsp. baking powder', '½ tsp. baking soda', '1 tsp. cinnamon', '¼ tsp. nutmeg', 'Pinch of salt', '3 Tbsp chopped walnuts (optional)']",120.0,23.1,3.1,2.1
24,Healthy Zucchini Bread,https://www.eatyourselfskinny.com/healthy-zucchini-bread/,"['1 cup unbleached all-purpose flour', '½ cup whole wheat flour', '1 tsp. baking powder', '½ tsp. baking soda', '1½ tsp. cinnamon', '¼ tsp. nutmeg', '½ tsp. salt', '1 egg', '½ cup plain Greek yogurt', '¼ cup coconut oil melted and cooled', '½ cup honey', '2 Tbsp brown sugar', '1 tsp. vanilla', '1½ cups grated zucchini water squeezed out']",161.0,26.2,3.7,5.0
25,Tropical Green Smoothie Bowl,https://www.eatyourselfskinny.com/tropical-green-smoothie-bowl/,"['½ cup frozen mango', '½ cup frozen pineapple', '¼ cup plain Greek yogurt', '1 cup spinach', 'Few mint leaves torn', '1 cup coconut water', 'Toppings: kiwi slices shredded coconut and chia seeds']",208.0,28.1,9.1,2.1
26,Vanilla Almond Oatmeal with Blueberries,https://www.eatyourselfskinny.com/vanilla-almond-oatmeal-with-blueberries/,"['2 cups vanilla almond milk', '1 cup water', '¼ tsp. salt', '1 cup steel cut oats', '1 tsp. vanilla extract', '1 tsp. almond extract', '½ tsp. cinnamon', '1 Tbsp honey']",189.0,32.5,5.5,4.3
27,My Favorite Veggie Frittata,https://www.eatyourselfskinny.com/my-favorite-veggie-frittata/,"['1 Tbsp olive oil', '2 cloves garlic minced', '1 small onion chopped', '½ red bell pepper chopped', '½ green bell pepper chopped', '½ zucchini shredded', '½ cup broccoli florets', '¼ cup sun dried tomatoes chopped', '6 eggs', '2 Tbsp almond milk', '¼ cup Parmesan cheese', '1 tsp. dried oregano', '¼ tsp. red pepper flakes', '½ tsp. pepper', 'Pinch of sea salt']",130.0,5.4,8.2,8.1
28,Banana Breakfast Muffins,https://www.eatyourselfskinny.com/banana-breakfast-muffins/,"['1⅓ cup whole wheat flour', '1 tsp. baking powder', '½ tsp. baking soda', '¼ tsp. sea salt', '½ tsp. cinnamon', '1 large egg', '3 ripe bananas mashed', '½ cup unsweetened applesauce', '¼ cup honey', '1 tsp. vanilla', '3 Tbsp plain Greek yogurt']",106.0,23.8,3.0,0.8
29,No Bake Apple Peanut Butter Cookies,https://www.eatyourselfskinny.com/no-bake-apple-peanut-butter-cookies/,"['4 Tbsp coconut oil', '⅓ cup all-natural peanut butter', '2 Tbsp honey', '½ tsp. vanilla', '1 cup puffed rice cereal', '1 cup rolled oats', '⅓ cup dried apples crushed slightly', '2 Tbsp chopped peanuts', '2 Tbsp ground flax seed', '¼ tsp. apple pie spice', '¼ cup white chocolate chips melted']",113.0,10.2,2.6,6.0
30,{Healthy} Harvest Pancakes,https://www.eatyourselfskinny.com/healthy-harvest-pancakes/,"['¼ cup almond flour (or flour of your choice)', '1 tsp. baking soda', '½ tsp. cinnamon', '¼ tsp. nutmeg', '4 eggs lightly beaten', '½ banana mashed', '1 tsp. vanilla']",103.0,4.5,6.1,6.7
31,Apple Cider Oatmeal Crisp,https://www.eatyourselfskinny.com/apple-cider-oatmeal-crisp/,"['6 apples peeled and sliced', '2 cups fresh apple cider', '⅓ cup maple syrup', '2 cinnamon sticks', '1 cup rolled oats', '½ cup pecans roughly chopped', '½ cup + 2 Tbsp almond four', '¼ cup apple cider mixture', '1 tsp. vanilla', '1 tsp. cinnamon', '½ tsp. allspice', '¼ tsp. salt']",254.0,42.4,3.7,9.3
32,Skinny Pumpkin Spice Mug Cake,https://www.eatyourselfskinny.com/skinny-pumpkin-spice-mug-cake/,"['4 Tbsp white whole wheat flour', '½ tsp. baking powder', '¼ tsp. cinnamon', '¼ tsp. pumpkin pie spice', 'Pinch of nutmeg', '1 Tbsp maple syrup (or 1 Tbsp brown sugar)', '2 tsp. pumpkin puree', '2 Tbsp almond milk (or milk of your choice)', '1½ tsp. unsweetened apple sauce', '¼ tsp. vanilla extract']",181.0,34.9,4.3,1.0
33,{Healthy} Blueberry Lemon Bread Pudding,https://www.eatyourselfskinny.com/healthy-blueberry-lemon-bread-pudding/,"['5 cups crusty whole wheat bread cut into 2-inch squares', '1½ cups almond milk (or milk of your choice)', '½ cup unsweetened applesauce', '2 eggs lightly beaten', '1 Tbsp honey', '1 Tbsp light brown sugar', '½ tsp. vanilla', '¼ tsp. sea salt', 'Zest of 1 lemon', '1 pint blueberries']",240.0,43.8,8.3,4.3
34,{Healthy} Turkey and Sweet Potato Hash,https://www.eatyourselfskinny.com/healthy-turkey-and-sweet-potato-hash/,"['3 cups sweet potatoes peeled and cubed', '1 Tbsp olive oil', '1 yellow onion chopped', '1 clove garlic minced', '1 lb 99% fat-free ground turkey', '1 zucchini diced', '1 red bell pepper chopped', '1 tsp. ground cumin', '1 tsp. smoked paprika', '½ tsp. chili powder', '½ tsp. sea salt', '1 tsp. fresh parsley finely chopped']",264.0,25.9,30.8,4.8
35,Blueberry Muffin Overnight Oats,https://www.eatyourselfskinny.com/blueberry-muffin-overnight-oats/,"['⅓ cup old-fashioned rolled oats', '⅓ cup plain Greek yogurt', '⅓ cup unsweetened almond milk', '1 Tbsp chia seeds', '½ Tbsp agave (or honey)', '1 tsp. vanilla extract', '¼ tsp. cinnamon', '¼ cup blueberries']",275.0,41.0,13.4,5.8
36,Protein Breakfast Muffins,https://www.eatyourselfskinny.com/protein-breakfast-muffins/,"['¼ cup plain Greek yogurt', '¾ cup unsweetened applesauce', '½ cup brown sugar', '1 egg', '½ tsp. vanilla extract', '1 cup grated carrot', '1 cup grated zucchini', '¾ cup whole wheat flour', '¾ cup all purpose flour', '¼ cup protein powder (I used Perfect Fit)', '2 tsp. baking powder', '1 tsp. cinnamon', '½ tsp. nutmeg', '½ tsp. salt']",118.0,24.8,4.2,0.6
37,Homemade KIND Bars,https://www.eatyourselfskinny.com/homemade-kind-bars/,"['½ cup unsalted roasted almonds whole', '½ cup unsalted dry roasted peanuts whole', '½ cup roasted walnuts chopped', '⅓ cup puffed rice', '1 Tbsp flaxseed meal', '¼ cup brown rice syrup', '2 Tbsp honey', '½ tsp vanilla', '½ tsp sea salt', '½ cup dark chocolate chips']",210.0,17.5,4.1,12.0
38,Juice Pulp Muffins,https://www.eatyourselfskinny.com/juice-pulp-muffins/,"['3 cups whole wheat flour', '¼ cup flax seed meal', '½ tsp. salt', '1 Tbsp baking powder', '1 tsp. cinnamon', '½ tsp. nutmeg', '2 cups fruit/veggie pulp (I used approximately 1 bunch kale 4 carrots 2 green apples and 1 large chunk of fresh ginger)', '½ cup plain Greek yogurt', '½ banana mashed', '½ cup unsweetened almond milk', '½ cup maple syrup (or honey)', '1 tsp. vanilla extract', 'Handful of rolled oats']",85.0,17.8,2.9,0.7
39,Kale Juice,https://www.eatyourselfskinny.com/why-i-love-juicing/,"['6 leaves kale (1 bunch)', '2 stalks celery', '2 green apples', '2 pears', '1 lime']",168.0,46.5,6.2,1.5
40,Mango Avocado Smoothie,https://www.eatyourselfskinny.com/mango-avocado-smoothie/,"['1 ripe avocado peeled pitted and chopped', '2 cups frozen mango cubes', '1 cup fresh orange juice', '½ cup water', 'Handful of mint chopped']",145.0,25.0,2.0,5.0
41,Strawberry Basil Scones,https://www.eatyourselfskinny.com/strawberry-basil-scones-for-voskos/,"['1½ cups whole wheat flour', '1¼ cups rolled oats', '¼ cup raw sugar', '1 tsp baking powder', '¼ tsp. sea salt', '6 Tbsp unsalted butter melted and cooled', '½ cup strawberry Greek yogurt such as Voskos', '⅓ cup fat-free milk', '½ tsp. vanilla extract', '1 cup chopped strawberries', 'Handful fresh basil chopped']",198.0,27.8,5.8,8.0
42,Clean Blueberry Protein Muffins,https://www.eatyourselfskinny.com/clean-blueberry-protein-muffins/,"['2½ cups protein powder', '1½ cups eggs whites', '3 Tbsp almond flour', '2 Tbsp ground flaxseed', '3 Tbsp unsweetened almond milk', '2 Tbsp water', '1 mashed banana', '¼ cup organic (no sugar added) applesauce', '2 Tbsp coconut oil (melted)', '1 tsp. vanilla extract', '1½ Tbsp cinnamon', '3 tsp. baking powder', 'Pinch of sea salt', '½ cup blueberries']",124.0,6.9,16.2,3.8
43,Clean Egg & Zucchini Muffins,https://www.eatyourselfskinny.com/clean-egg-zucchini-muffins/,"['14 egg whites', '4 whole eggs', '4 green onions chopped', '2 carrots shredded', '½ red bell pepper minced', '½ zucchini shredded', '½ tsp. dried basil', '¼ tsp. dried oregano', 'Sprinkle of sea salt and pepper to taste']",123.0,3.5,15.8,3.1
44,Guilt-Free Oatmeal Raisin Cookies,https://www.eatyourselfskinny.com/guilt-free-oatmeal-raisin-cookies/,"['1½ cup old fashioned rolled oats', '1 cup unsweetened coconut flakes', '½ tsp. sea salt', '1 tsp. cinnamon', '½ tsp. allspice', '½ cup mixed nuts finely chopped (I used pecans walnuts and almonds)', '1 cup raisins', '3 ripe bananas mashed', '¼ cup plain Greek yogurt', '1 tsp. vanilla extract']",88.0,14.5,1.8,3.3
