,Name,Url,Ingredients,Calories,Carbs Grams,Protein Grams,Fat Grams
0,Grilled Sausage & Apple Pizza with Goat Cheese,https://www.eatyourselfskinny.com/grilled-sausage-apple-pizza-with-goat-cheese/,"['4 whole grain naan flatbreads', '2 Tbsp olive oil for brushing', '1 (12 oz) package Aidells Chicken & Apple Sausage', '2 cups thinly sliced apples (I used Fuji)', '8 oz goat cheese', '2 cups baby arugula', 'Salt and pepper to taste', '1 Tbsp olive oil', '1½ tsp. honey', '2 tsp. dijon mustard', '1 tsp. fresh lemon juice']",410.0,36.4,17.3,19.6
1,Asian Shrimp Salad with Ginger Sesame Dressing,https://www.eatyourselfskinny.com/asian-shrimp-salad/,"['1 lb. shrimp peeled and deveined', '1 Tbsp olive oil', '2 Tbsp chili paste', '3 Tbsp ginger sesame dressing (see below)', '2 Tbsp lime juice', '3 cups shredded napa cabbage', '2 cups shredded red cabbage', '1 cup shredded carrots', '1 cup sugar snap peas thinly sliced', '¼ cup fresh cilantro chopped', '2 Tbsp fresh mint chopped', '2 Tbsp rice vinegar', '1 Tbsp reduced sodium soy sauce', '1 clove garlic', '1 Tbsp honey', '1 Tbsp fresh ginger peeled and minced', '¼ tsp. toasted sesame oil', '3 Tbsp olive oil']",228.0,17.1,8.8,14.2
2,Sweet Potato & Black Bean Quinoa Bake,https://www.eatyourselfskinny.com/sweet-potato-black-bean-quinoa-bake/,"['4 cups sweet potatoes (1/2-inch cubes)', '1 (15 oz) can black beans drained and rinsed', '1 cup uncooked quinoa rinsed', '1 cup frozen corn thawed', '2 cups vegetable broth', '1 tsp. chili powder', '2 tsp. cumin', '1 tsp. garlic salt', '½ tsp. dried thyme', '½ cup green onions chopped']",273.0,55.8,11.0,2.5
3,Moroccan Salmon Foil Packets with Carrot Noodles & Chickpeas,https://www.eatyourselfskinny.com/moroccan-salmon-foil-packets-with-carrot-noodles/,"['4 (6 oz) salmon fillets fresh or frozen thawed', 'Salt and pepper to taste', '2 large carrots peeled and spiralized', 'Optional toppings: 1 to 2 Tbsp chopped cilantro', '1 (14.5 oz) can chickpeas drained and rinsed', '1 tsp olive oil', '½ tsp sea salt', '½ tsp cumin', '½ tsp smoked paprika', '3 Tbsp harissa (mild or spicy depending on your preference)', '1 Tbsp olive oil', '1 Tbsp fresh lemon juice', '1 ½ tsp fresh ginger grated', '1 Tbsp honey', '3 cloves garlic minced', '1 tsp. smoked paprika']",469.0,33.5,49.2,13.4
4,Ginger Maple Chicken with Brussels Sprouts & Butternut Squash,https://www.eatyourselfskinny.com/ginger-maple-chicken-with-brussels-sprouts-butternut-squash/,"['6 boneless skinless chicken thighs', '2 cups butternut squash cubed', '2 cups brussels sprouts trimmed and halved lengthwise', '½ large red onion sliced', '1 Tbsp olive oil', 'Salt and pepper to taste', '3 Tbsp lower-sodium soy sauce (or tamari if gluten-free)', '⅓ cup pure maple syrup', '1 tsp. sesame oil', '2 Tbsp grated ginger', '¼ tsp. red pepper flakes', '1 tsp. fresh thyme']",255.0,22.4,24.0,7.3
5,Baked Crab Cake Balls with Sriracha Dipping Sauce,https://www.eatyourselfskinny.com/baked-crab-cake-bites-with-sriracha-dipping-sauce/,"['1 egg lightly whisked', '¼ cup plain Greek yogurt', '1 Tbsp Dijon mustard', '¼ tsp. Sriracha sauce', '2 tsp. fresh lemon juice', '2 green onions chopped', '1½ tsp. Old Bay seasoning', '1 pound jumbo lump crab meat', '1 cup whole wheat Panko breadcrumbs', '¼ tsp. garlic salt', '⅛ tsp. black pepper', '¼ cup plain Greek yogurt', '¼ cup mayonnaise', '2 Tbsp Sriracha sauce']",166.0,12.1,12.5,6.4
6,Beef and Tomato Stew,https://www.eatyourselfskinny.com/beef-and-tomato-stew/,"['1 Tbsp olive oil (if searing the meat first)', '2 lb. cubed stew beef', '1 (15 oz) can stewed tomatoes', '1 (6 oz) can tomato paste', '2 cups beef broth', '1 Tbsp Worcestershire sauce', '1 medium onion chopped', '3 large carrots sliced', '3 ribs celery chopped', '1 cup fresh or frozen peas', '1 lb. baby potatoes', '1 tsp. salt', '½ tsp. pepper', '2 tsp. garlic powder', '1 Tbsp fresh thyme (or 1 tsp dried)', '2 tsp fresh rosemary (or ½ tsp dried)', '1 bay leaf']",325.0,24.2,27.3,13.3
7,Turmeric Ginger Grilled Chicken,https://www.eatyourselfskinny.com/turmeric-ginger-grilled-chicken/,"['4 boneless skinless chicken breasts', '½ cup canned coconut milk', '1 Tbsp olive oil', '2 cloves garlic', '1 tsp. turmeric', '1 Tbsp ginger grated', '1 tsp. ground coriander', '½ tsp. cumin', '½ tsp. salt', '1 Tbsp fresh lime juice']",320.0,2.7,47.9,10.6
8,Cranberry Cocktail Meatballs,https://www.eatyourselfskinny.com/cranberry-cocktail-meatballs/,"['1 lb. grass fed ground beef', '½ onion finely chopped', '¼ cup whole wheat panko breadcrumbs', '2 garlic cloves minced', '1 egg', '¼ cup parmesan cheese finely grated', '2 Tbsp tomato paste', '1 tsp. salt', '¼ tsp. pepper', '1 Tbsp fresh parsley minced', '1 cup fresh squeezed orange juice', '⅓ cup honey', '12 oz. fresh cranberries', '½ cup chili sauce', '1 tsp. orange zest', 'Pinch of cayenne pepper', 'Salt and pepper to taste']",282.0,27.5,20.1,8.7
9,Pesto Flatbread Pizzas,https://www.eatyourselfskinny.com/garlicky-pesto-flatbread-pizza-with-tomatoes-arugula/,"['2 whole grain naan flatbreads', '1 Tbsp Alessi garlic purée', '½ cup pesto', '6 slices fresh mozzarella ⅓-inch thick', '½ lb tomatoes (I used a variety) thinly sliced', '½ cup sun dried tomatoes', 'Salt and pepper to taste', '2 cups arugula', 'Fresh basil leaves torn', 'Red pepper flakes to taste']",387.0,37.1,16.7,18.2
