,Name,Url,Ingredients,Calories,Carbs Grams,Protein Grams,Fat Grams
0,Baked Asparagus with Mustard Dill Sauce,https://www.eatyourselfskinny.com/baked-asparagus-with-mustard-dill-sauce/,"['2 lb. asparagus trimmed', '½ cup chicken broth (or vegetable broth)', '4 Tbsp Dijon mustard', '1 Tbsp lemon juice', 'Salt and pepper to taste', '1 Tbsp fresh dill weed']",67.0,9.6,5.5,0.5
1,Grilled Sausage & Apple Pizza with Goat Cheese,https://www.eatyourselfskinny.com/grilled-sausage-apple-pizza-with-goat-cheese/,"['4 whole grain naan flatbreads', '2 Tbsp olive oil for brushing', '1 (12 oz) package Aidells Chicken & Apple Sausage', '2 cups thinly sliced apples (I used Fuji)', '8 oz goat cheese', '2 cups baby arugula', 'Salt and pepper to taste', '1 Tbsp olive oil', '1½ tsp. honey', '2 tsp. dijon mustard', '1 tsp. fresh lemon juice']",410.0,36.4,17.3,19.6
2,Asian Shrimp Salad with Ginger Sesame Dressing,https://www.eatyourselfskinny.com/asian-shrimp-salad/,"['1 lb. shrimp peeled and deveined', '1 Tbsp olive oil', '2 Tbsp chili paste', '3 Tbsp ginger sesame dressing (see below)', '2 Tbsp lime juice', '3 cups shredded napa cabbage', '2 cups shredded red cabbage', '1 cup shredded carrots', '1 cup sugar snap peas thinly sliced', '¼ cup fresh cilantro chopped', '2 Tbsp fresh mint chopped', '2 Tbsp rice vinegar', '1 Tbsp reduced sodium soy sauce', '1 clove garlic', '1 Tbsp honey', '1 Tbsp fresh ginger peeled and minced', '¼ tsp. toasted sesame oil', '3 Tbsp olive oil']",228.0,17.1,8.8,14.2
3,Sweet Potato & Black Bean Quinoa Bake,https://www.eatyourselfskinny.com/sweet-potato-black-bean-quinoa-bake/,"['4 cups sweet potatoes (1/2-inch cubes)', '1 (15 oz) can black beans drained and rinsed', '1 cup uncooked quinoa rinsed', '1 cup frozen corn thawed', '2 cups vegetable broth', '1 tsp. chili powder', '2 tsp. cumin', '1 tsp. garlic salt', '½ tsp. dried thyme', '½ cup green onions chopped']",273.0,55.8,11.0,2.5
4,Moroccan Salmon Foil Packets with Carrot Noodles & Chickpeas,https://www.eatyourselfskinny.com/moroccan-salmon-foil-packets-with-carrot-noodles/,"['4 (6 oz) salmon fillets fresh or frozen thawed', 'Salt and pepper to taste', '2 large carrots peeled and spiralized', 'Optional toppings: 1 to 2 Tbsp chopped cilantro', '1 (14.5 oz) can chickpeas drained and rinsed', '1 tsp olive oil', '½ tsp sea salt', '½ tsp cumin', '½ tsp smoked paprika', '3 Tbsp harissa (mild or spicy depending on your preference)', '1 Tbsp olive oil', '1 Tbsp fresh lemon juice', '1 ½ tsp fresh ginger grated', '1 Tbsp honey', '3 cloves garlic minced', '1 tsp. smoked paprika']",469.0,33.5,49.2,13.4
5,Spicy Chickpea and Quinoa Bowls,https://www.eatyourselfskinny.com/spicy-chickpea-quinoa-bowl/,"['1 cup uncooked quinoa', '2 cups vegetable broth', '1 Tbsp olive oil', '3 cloves garlic minced', '1 onion chopped', '2 (15 oz) cans chickpeas drained and rinsed', '1 (15 oz) can diced tomatoes', '1 Tbsp tomato paste', '1 tsp. cumin', '½ tsp. red pepper flakes (or more if you like a lot of heat!)', '½ tsp. salt', '¼ tsp. black pepper', 'Fresh cilantro garnish (optional)']",342.0,62.0,12.4,5.8
6,Beef and Tomato Stew,https://www.eatyourselfskinny.com/beef-and-tomato-stew/,"['1 Tbsp olive oil (if searing the meat first)', '2 lb. cubed stew beef', '1 (15 oz) can stewed tomatoes', '1 (6 oz) can tomato paste', '2 cups beef broth', '1 Tbsp Worcestershire sauce', '1 medium onion chopped', '3 large carrots sliced', '3 ribs celery chopped', '1 cup fresh or frozen peas', '1 lb. baby potatoes', '1 tsp. salt', '½ tsp. pepper', '2 tsp. garlic powder', '1 Tbsp fresh thyme (or 1 tsp dried)', '2 tsp fresh rosemary (or ½ tsp dried)', '1 bay leaf']",325.0,24.2,27.3,13.3
7,Turmeric Ginger Grilled Chicken,https://www.eatyourselfskinny.com/turmeric-ginger-grilled-chicken/,"['4 boneless skinless chicken breasts', '½ cup canned coconut milk', '1 Tbsp olive oil', '2 cloves garlic', '1 tsp. turmeric', '1 Tbsp ginger grated', '1 tsp. ground coriander', '½ tsp. cumin', '½ tsp. salt', '1 Tbsp fresh lime juice']",320.0,2.7,47.9,10.6
8,Pesto Flatbread Pizzas,https://www.eatyourselfskinny.com/garlicky-pesto-flatbread-pizza-with-tomatoes-arugula/,"['2 whole grain naan flatbreads', '1 Tbsp Alessi garlic purée', '½ cup pesto', '6 slices fresh mozzarella ⅓-inch thick', '½ lb tomatoes (I used a variety) thinly sliced', '½ cup sun dried tomatoes', 'Salt and pepper to taste', '2 cups arugula', 'Fresh basil leaves torn', 'Red pepper flakes to taste']",387.0,37.1,16.7,18.2
9,Turkey Chili,https://www.eatyourselfskinny.com/the-best-turkey-chili-youll-ever-taste/,"['2 lbs 99% fat-free ground turkey', '1 yellow onion chopped', '5 cloves garlic minced', '1 Tbsp olive oil', '1 (28 oz) can crushed tomatoes no-salt added', '1 (15 oz) can petite diced tomatoes no-salt added', '3 Tbsp tomato paste', '½ tsp. hot sauce (I used Texas Pete)', '1 (15 oz) can kidney beans no-salt added drained and rinsed', '1 red bell pepper chopped', '1 green bell pepper chopped', '2 jalapenos chopped', '1½ tsp. sea salt', 'Pinch of pepper', '1 packet Stevia', '3 Tbsp chili powder', '2 tsp. oregano', '⅛ tsp. cayenne pepper']",262.0,25.9,34.6,3.6
