,Name,Url,Ingredients,Calories,Carbs Grams,Protein Grams,Fat Grams
0,Chicken Parmesan Lasagna,https://www.skinnytaste.com/chicken-parmesan-lasagna/,"['4 (32 ounces) boneless skinless chicken breasts sliced in half lengthwise to make 8', '3/4 cup seasoned breadcrumbs (I used whole wheat you can also use GF crumbs)', '1/4 cup grated Parmesan cheese', '2 large eggs beaten', 'olive oil spray', '15 ounce container part-skim ricotta cheese I like Polly-o (almost 2 cups)', '1/2 cup grated Pecorino Romano or Parmesan cheese', '1/4 cup fresh chopped basil plus more for garnish', '4 3/4 cups homemade or jarred marinara sauce (from about 2)', '9 ounce box no-boil lasagna noodles I used Barilla', '3 cups baby spinach', '3 cups part-skim shredded mozzarella cheese']",454.0,34.5,44.5,16.5
1,Quickest Cast-Iron Thin Crust Pizza,https://www.skinnytaste.com/cast-iron-thin-crust-pizza/,"['Olive oil spray for greasing the pan', '2 (6-inch) tortillas (I love Siete gluten-free grain-free cassava tortillas)', '4 tablespoons tomato or marinara sauce', '1/4 cup full-fat mozzarella (she prefers cheese from the milk of grass-fed cows)', 'Toppings of choice (cheese from the milk of grass-fed cows thinly sliced vegetables dried or fresh herbs)', 'fresh basil for topping']",118.0,15.5,4.5,5.0
2,Chicken and Asparagus Lemon Stir Fry,https://www.skinnytaste.com/chicken-and-asparagus-lemon-stir-fry/,"['1 1/2 pounds skinless chicken breast cut into 1-inch cubes', 'Kosher salt to taste', '1/2 cup reduced-sodium chicken broth', '2 tablespoons reduced-sodium shoyu or soy sauce (Coconut aminos for GF W30)', '2 teaspoons cornstarch (arrowroot powder or tapioca starch for whole30)', '2 tablespoons water', '1 tbsp canola or grapeseed oil divided', '1 bunch asparagus ends trimmed cut into 2-inch pieces', '6 cloves garlic chopped', '1 tbsp fresh ginger', '3 tablespoons fresh lemon juice', 'fresh black pepper to taste']",268.0,10.0,41.0,7.0
3,Turkey Meatloaf,https://www.skinnytaste.com/turkey-meatloaf-45/,"['1/4 cup plus 2 tbsp ketchup (I use organic)', '2 tsp Worcestershire sauce', '1/2 small onion minced', '1 tsp olive oil', '1.3 lb 99% lean ground turkey', '1/2 cup seasoned whole wheat or gluten-free breadcrumbs (I like 4C)', '1 large egg', '1 tsp marjoram', '1 teaspoon kosher salt']",259.0,14.0,37.0,5.0
4,Heather’s Buddha Bowl,https://www.skinnytaste.com/buddha-bowl/,"['4 cups broccoli florets', '2 cups cubed butternut squash', '1 small onion sliced into ½ moons', '1 tablespoon olive oil', '1 small (4-ounce) Hass avocado sliced', 'Olive oil spray', '4 large eggs', 'Kosher salt', 'Freshly ground black pepper', '2 cups cooked brown rice', '¼ cup chopped pecans']",372.0,43.0,13.0,18.5
5,"Shrimp, Peas and Rice",https://www.skinnytaste.com/shrimp-peas-and-rice/,"['1 tablespoon unsalted butter', '2 cups low sodium chicken broth canned or homemade (veggie broth for lent)', '1/2 cup frozen peas', '1 cup uncooked converted brown rice', '4 teaspoons olive oil divided', '1-1/4 pounds peeled and deveined shrimp', '2 tbsp grated Pecorino Romano cheese', '1 tbsp chopped parsley for garnish']",346.0,36.0,28.5,8.0
6,Apricot-Rum Glazed Spiral Ham,https://www.skinnytaste.com/apricot-rum-glazed-spiral-ham/,"['1 (6 to 8 pounds) Hickory smoked fully cooked spiral cut ham', '3 tablespoons apricot preserves', '3 tablespoons dark rum']",145.0,10.5,15.0,7.0
7,Sesame Crusted Tuna Steak on Arugula,https://www.skinnytaste.com/sesame-crusted-tuna-steak-on-arugula-5/,"['20 ounces sushi grade tuna', '1 teaspoon toasted sesame oil', '1/4 cup black and white sesame seeds', 'pinch kosher salt', 'fresh black pepper to taste', '5 cups baby arugula', '1 tablespoon minced ginger', '1 tablespoon minced scallion', '1 tablespoon minced garlic', '1/2 cup balsamic vinegar', '1/4 cup red wine vinegar', '1/4 cup soy sauce or gluten-free tamari', '1 1/2 tbsp honey', '2 teaspoons toasted sesame oil', '1 teaspoon Dijon mustard']",290.0,16.5,36.0,8.0
8,White Bean Turkey Chili,https://www.skinnytaste.com/white-bean-turkey-chili-4-pts/,"['olive oil spray', '2 small onions chopped', '5 garlic cloves chopped', '3 pounds 93% lean ground turkey', '1 (4.5 ounce) can diced green chilies', '1/2 teaspoon kosher salt', '1/2 tablespoon cumin', '1/2 tablespoon oregano', '2 teaspoons chili powder to your taste', '1/2 to 2 teaspoons crushed red pepper flakes (to your taste)', '1 bay leaf', '4 (15.5 ounce) cans of cannellini or navy beans rinsed and drained', '2 cups chicken broth', '1/2 cup reduced-fat sour cream', 'Monterey Jack or Pepper Jack Cheese shredded', 'diced avocado', 'cilantro', 'sliced jalapeno', 'sour cream', 'chopped scallions']",307.0,25.0,30.0,12.0
9,Shrimp Scampi with Broccoli Orzo,https://www.skinnytaste.com/shrimp-scampi-with-broccoli-orzo/,"['5 ounces uncooked orzo pasta (or gluten-free pasta)', '3 cups of roughly chopped fresh broccoli florets only (no stems)', '1 tablespoon extra virgin olive oil', '3 cloves garlic minced', 'kosher salt and fresh pepper to taste', '1 tablespoon unsalted butter', '1 teaspoon extra-virgin olive oil', '2 garlic cloves minced', '1 pound peeled and deveined jumbo shrimp tails removed', '1/4 teaspoon kosher salt', 'Freshly ground black pepper to taste', 'Pinch red pepper flakes', 'Juice from 1 lemon', '1 tablespoon fresh chopped parsley', 'grated parmesan cheese for serving']",282.0,20.5,27.0,10.0
