,Name,Url,Ingredients,Calories,Carbs Grams,Protein Grams,Fat Grams
0,Quickest Cast-Iron Thin Crust Pizza,https://www.skinnytaste.com/cast-iron-thin-crust-pizza/,"['Olive oil spray for greasing the pan', '2 (6-inch) tortillas (I love Siete gluten-free grain-free cassava tortillas)', '4 tablespoons tomato or marinara sauce', '1/4 cup full-fat mozzarella (she prefers cheese from the milk of grass-fed cows)', 'Toppings of choice (cheese from the milk of grass-fed cows thinly sliced vegetables dried or fresh herbs)', 'fresh basil for topping']",118.0,15.5,4.5,5.0
1,Tex-Mex Migas,https://www.skinnytaste.com/migas/,"['1/3 cup diced onion', '1/2 vine tomato seeded and diced', '1 jalapeño half diced half sliced thin for garnish', '3 tablespoons chopped cilantro plus more for garnish', '2 corn tortillas', '2 teaspoons olive oil', '1/2 teaspoon kosher salt and black pepper to taste', '8 large eggs', '4 corn tortillas', '1/4 cup crumbled queso fresco', '4 ounces avocado sliced', 'hot sauce or salsa for serving']",326.0,22.5,17.0,19.0
2,BBQ Chicken Quesadilla,https://www.skinnytaste.com/bbq-chicken-quesadilla/,"['1/8 tsp garlic powder', '1/8 tsp onion powder', 'nonstick spray']",325.0,32.5,32.0,10.0
3,Heather’s Buddha Bowl,https://www.skinnytaste.com/buddha-bowl/,"['4 cups broccoli florets', '2 cups cubed butternut squash', '1 small onion sliced into ½ moons', '1 tablespoon olive oil', '1 small (4-ounce) Hass avocado sliced', 'Olive oil spray', '4 large eggs', 'Kosher salt', 'Freshly ground black pepper', '2 cups cooked brown rice', '¼ cup chopped pecans']",372.0,43.0,13.0,18.5
4,Green Bean Salad,https://www.skinnytaste.com/string-bean-salad-2-pts/,"['24 oz (6 cups) string beans beans ends trimmed', '2.25 ounce can sliced black olives drained (check labels for Whole30)', '3 tablespoons balsamic vinegar', '3 tablespoons extra virgin olive oil', '3 medium scallions chopped', '3/4 teaspoon kosher salt', 'fresh black pepper to taste', '5 hard boiled eggs peeled and sliced']",176.0,11.0,7.5,12.0
5,Sesame Crusted Tuna Steak on Arugula,https://www.skinnytaste.com/sesame-crusted-tuna-steak-on-arugula-5/,"['20 ounces sushi grade tuna', '1 teaspoon toasted sesame oil', '1/4 cup black and white sesame seeds', 'pinch kosher salt', 'fresh black pepper to taste', '5 cups baby arugula', '1 tablespoon minced ginger', '1 tablespoon minced scallion', '1 tablespoon minced garlic', '1/2 cup balsamic vinegar', '1/4 cup red wine vinegar', '1/4 cup soy sauce or gluten-free tamari', '1 1/2 tbsp honey', '2 teaspoons toasted sesame oil', '1 teaspoon Dijon mustard']",290.0,16.5,36.0,8.0
6,White Bean Turkey Chili,https://www.skinnytaste.com/white-bean-turkey-chili-4-pts/,"['olive oil spray', '2 small onions chopped', '5 garlic cloves chopped', '3 pounds 93% lean ground turkey', '1 (4.5 ounce) can diced green chilies', '1/2 teaspoon kosher salt', '1/2 tablespoon cumin', '1/2 tablespoon oregano', '2 teaspoons chili powder to your taste', '1/2 to 2 teaspoons crushed red pepper flakes (to your taste)', '1 bay leaf', '4 (15.5 ounce) cans of cannellini or navy beans rinsed and drained', '2 cups chicken broth', '1/2 cup reduced-fat sour cream', 'Monterey Jack or Pepper Jack Cheese shredded', 'diced avocado', 'cilantro', 'sliced jalapeno', 'sour cream', 'chopped scallions']",307.0,25.0,30.0,12.0
7,Cream of Broccoli Soup,https://www.skinnytaste.com/cream-of-broccoli-soup-25-ww-pts/,"['4 1/4 cups reduced sodium chicken broth (or vegetable broth)', '1 medium onion chopped (2/3 cup)', '1 carrot peeled and chopped (2/3 cup)', '1 celery stalk chopped', '1 clove garlic chopped', '5 cups broccoli florets (12 ounces)', '1/2 cup 2% milk', '3 tablespoons reduced-fat sour cream plus optional more for garnish', 'ground black pepper to taste', '1/2 cup sharp cheddar cheese shredded']",150.0,14.0,10.5,7.0
8,Crustless Broccoli & Cheddar Quiche,https://www.skinnytaste.com/crustless-broccoli-cheddar-quiche/,"['cooking spray', '3 cups chopped broccoli florets', '1 cup grated cheddar cheese', '2/3 cup 2% milk', '1/4 cup half & half cream', '5 large eggs', '3/4 teaspoon kosher salt', '1/8 teaspoon ground black pepper', 'pinch freshly grated nutmeg']",174.0,5.0,12.5,12.0
9,Classic Egg Salad,https://www.skinnytaste.com/classic-egg-salad/,"['6 hard boiled eggs peeled and chopped', '3 tablespoons mayonnaise', '1 teaspoon finely chopped red onion', '1/4 teaspoon kosher salt', 'fresh black pepper to taste', '1/8 teaspoon sweet paprika for garnish', 'chopped chives for garnish']",185.0,1.0,9.5,15.5
